,Date,Open,Close,Adj_Close,High,Low,Symbol
0,2012-11-26,1.96,1.87,1.87,1.97,1.84,AMD
1,2012-11-27,1.87,1.88,1.88,1.89,1.85,AMD
2,2012-11-28,1.88,1.96,1.96,1.99,1.86,AMD
3,2012-11-29,2.01,2.04,2.04,2.12,2.01,AMD
4,2012-11-30,2.16,2.20,2.20,2.22,2.11,AMD
5,2012-12-03,2.28,2.36,2.36,2.46,2.26,AMD
6,2012-12-04,2.48,2.26,2.26,2.48,2.21,AMD
7,2012-12-05,2.30,2.29,2.29,2.32,2.25,AMD
8,2012-12-06,2.33,2.34,2.34,2.39,2.27,AMD
9,2012-12-07,2.38,2.36,2.36,2.39,2.29,AMD
10,2012-12-10,2.35,2.32,2.32,2.39,2.31,AMD
11,2012-12-11,2.34,2.33,2.33,2.36,2.30,AMD
12,2012-12-12,2.37,2.37,2.37,2.44,2.36,AMD
13,2012-12-13,2.40,2.41,2.41,2.44,2.38,AMD
14,2012-12-14,2.43,2.39,2.39,2.44,2.39,AMD
15,2012-12-17,2.41,2.46,2.46,2.46,2.39,AMD
16,2012-12-18,2.50,2.52,2.52,2.53,2.47,AMD
17,2012-12-19,2.55,2.52,2.52,2.57,2.49,AMD
18,2012-12-20,2.53,2.40,2.40,2.53,2.37,AMD
19,2012-12-21,2.33,2.59,2.59,2.59,2.25,AMD
20,2012-12-24,2.54,2.48,2.48,2.57,2.47,AMD
21,2012-12-26,2.49,2.43,2.43,2.53,2.42,AMD
22,2012-12-27,2.42,2.39,2.39,2.43,2.34,AMD
23,2012-12-28,2.30,2.28,2.28,2.36,2.25,AMD
24,2012-12-31,2.29,2.40,2.40,2.42,2.28,AMD
25,2013-01-02,2.55,2.53,2.53,2.57,2.45,AMD
26,2013-01-03,2.52,2.49,2.49,2.59,2.46,AMD
27,2013-01-04,2.51,2.59,2.59,2.59,2.49,AMD
28,2013-01-07,2.61,2.67,2.67,2.70,2.60,AMD
29,2013-01-08,2.72,2.67,2.67,2.76,2.64,AMD
30,2013-01-09,2.70,2.63,2.63,2.72,2.60,AMD
31,2013-01-10,2.69,2.62,2.62,2.70,2.61,AMD
32,2013-01-11,2.63,2.67,2.67,2.68,2.55,AMD
33,2013-01-14,2.68,2.64,2.64,2.70,2.62,AMD
34,2013-01-15,2.62,2.68,2.68,2.70,2.60,AMD
35,2013-01-16,2.67,2.72,2.72,2.76,2.63,AMD
36,2013-01-17,2.76,2.74,2.74,2.78,2.71,AMD
37,2013-01-18,2.65,2.46,2.46,2.68,2.43,AMD
38,2013-01-22,2.52,2.45,2.45,2.54,2.43,AMD
39,2013-01-23,2.62,2.73,2.73,2.75,2.59,AMD
40,2013-01-24,2.70,2.79,2.79,2.84,2.67,AMD
41,2013-01-25,2.84,2.85,2.85,2.93,2.82,AMD
42,2013-01-28,2.89,2.82,2.82,2.92,2.78,AMD
43,2013-01-29,2.86,2.74,2.74,2.86,2.69,AMD
44,2013-01-30,2.75,2.65,2.65,2.78,2.63,AMD
45,2013-01-31,2.70,2.60,2.60,2.71,2.45,AMD
46,2013-02-01,2.63,2.60,2.60,2.68,2.57,AMD
47,2013-02-04,2.63,2.52,2.52,2.64,2.52,AMD
48,2013-02-05,2.55,2.60,2.60,2.60,2.49,AMD
49,2013-02-06,2.59,2.60,2.60,2.64,2.56,AMD
50,2013-02-07,2.61,2.57,2.57,2.63,2.56,AMD
51,2013-02-08,2.58,2.59,2.59,2.60,2.58,AMD
52,2013-02-11,2.59,2.67,2.67,2.70,2.59,AMD
53,2013-02-12,2.71,2.77,2.77,2.78,2.69,AMD
54,2013-02-13,2.81,2.75,2.75,2.83,2.73,AMD
55,2013-02-14,2.74,2.75,2.75,2.75,2.69,AMD
56,2013-02-15,2.77,2.71,2.71,2.79,2.70,AMD
57,2013-02-19,2.75,2.82,2.82,2.82,2.73,AMD
58,2013-02-20,2.84,2.70,2.70,2.84,2.68,AMD
59,2013-02-21,2.69,2.60,2.60,2.69,2.52,AMD
60,2013-02-22,2.64,2.61,2.61,2.67,2.55,AMD
61,2013-02-25,2.64,2.53,2.53,2.65,2.53,AMD
62,2013-02-26,2.54,2.46,2.46,2.55,2.44,AMD
63,2013-02-27,2.48,2.53,2.53,2.55,2.45,AMD
64,2013-02-28,2.56,2.49,2.49,2.57,2.48,AMD
65,2013-03-01,2.50,2.42,2.42,2.51,2.42,AMD
66,2013-03-04,2.44,2.40,2.40,2.45,2.36,AMD
67,2013-03-05,2.45,2.43,2.43,2.47,2.40,AMD
68,2013-03-06,2.45,2.43,2.43,2.46,2.40,AMD
69,2013-03-07,2.44,2.55,2.55,2.57,2.43,AMD
70,2013-03-08,2.57,2.56,2.56,2.64,2.52,AMD
71,2013-03-11,2.57,2.59,2.59,2.60,2.51,AMD
72,2013-03-12,2.59,2.61,2.61,2.63,2.57,AMD
73,2013-03-13,2.62,2.60,2.60,2.63,2.57,AMD
74,2013-03-14,2.62,2.63,2.63,2.63,2.58,AMD
75,2013-03-15,2.60,2.60,2.60,2.62,2.58,AMD
76,2013-03-18,2.59,2.65,2.65,2.68,2.55,AMD
77,2013-03-19,2.66,2.67,2.67,2.70,2.62,AMD
78,2013-03-20,2.70,2.75,2.75,2.75,2.69,AMD
79,2013-03-21,2.73,2.64,2.64,2.75,2.63,AMD
80,2013-03-22,2.66,2.54,2.54,2.67,2.53,AMD
81,2013-03-25,2.57,2.51,2.51,2.60,2.49,AMD
82,2013-03-26,2.52,2.54,2.54,2.54,2.50,AMD
83,2013-03-27,2.50,2.55,2.55,2.62,2.50,AMD
84,2013-03-28,2.55,2.55,2.55,2.57,2.52,AMD
85,2013-04-01,2.54,2.44,2.44,2.57,2.42,AMD
86,2013-04-02,2.45,2.39,2.39,2.45,2.38,AMD
87,2013-04-03,2.40,2.32,2.32,2.41,2.32,AMD
88,2013-04-04,2.34,2.33,2.33,2.37,2.32,AMD
89,2013-04-05,2.30,2.29,2.29,2.31,2.28,AMD
90,2013-04-08,2.31,2.59,2.59,2.61,2.26,AMD
91,2013-04-09,2.58,2.63,2.63,2.63,2.44,AMD
